"","type","concentration"
"1","Personal",378.736316666667
"2","Ambient",15.3
"3","Personal",169.998644444444
"4","Ambient",11.9
"5","Personal",2.97095
"6","Ambient",15.3
"7","Personal",4.078438889
"8","Ambient",11.9
"9","Personal",1.95436388888889
"10","Ambient",12.1
"11","Personal",7.38963333333333
"12","Ambient",13.7
"13","Personal",13.1918388888889
"14","Ambient",7.7
"15","Personal",191.863919444444
"16","Ambient",9.3
"17","Personal",8.42814444444445
"18","Ambient",6.9
"19","Personal",16.0621444444444
"20","Ambient",9.3
"21","Personal",20.6047388888889
"22","Ambient",28.8
"23","Personal",131.005361111111
"24","Ambient",19.6
"25","Personal",15.6614
"26","Ambient",28.8
"27","Personal",9.010675
"28","Ambient",19.4
"29","Personal",3.13420481927711
"30","Ambient",12.1
"31","Personal",78.5267444444444
"32","Ambient",13.3
"33","Personal",13.3071527777778
"34","Ambient",12.1
"35","Personal",19.9119361111111
"36","Ambient",13.3
"37","Personal",12.2358944444444
"38","Ambient",12.1
"39","Personal",9.79609722222222
"40","Ambient",13.3
"41","Personal",88.2739694444444
"42","Ambient",7.5
"43","Personal",170.324447222222
"44","Ambient",9.3
"45","Personal",181.039669444444
"46","Ambient",23.6
"47","Personal",267.407872222222
"48","Ambient",7.8
"49","Personal",7.27377777777778
"50","Ambient",6.6
"51","Personal",37.9140333333333
"52","Ambient",7.7
"53","Personal",45.0713611111111
"54","Ambient",14.3
"55","Personal",16.3752805555556
"56","Ambient",17.1
"57","Personal",18.7621166666667
"58","Ambient",22.3
"59","Personal",18.5364527777778
"60","Ambient",21.3
"61","Personal",13.65845833
"62","Ambient",22.3
"63","Personal",49.376325
"64","Ambient",21.3
"65","Personal",847.44385
"66","Ambient",22.3
"67","Personal",470.116705555556
"68","Ambient",21.3
"69","Personal",23.6543277777778
"70","Ambient",11.4
"71","Personal",21.3660277777778
"72","Ambient",9.4
"73","Personal",8.70171666666667
"74","Ambient",11.4
"75","Personal",38.5407972222222
"76","Ambient",9.7
"77","Personal",6.19954444444444
"78","Ambient",11.4
"79","Personal",2.53115
"80","Ambient",10.7
"81","Personal",18.5457111111111
"82","Ambient",17.1
"83","Personal",12.7411472222222
"84","Ambient",12.9
"85","Personal",85.3254361111111
"86","Ambient",16.9
"87","Personal",714.330036111111
"88","Ambient",12.5
"89","Personal",8.76596388888889
"90","Ambient",9.7
"91","Personal",8.125275
"92","Ambient",14.8
"93","Personal",75.6682638888889
"94","Ambient",9.7
"95","Personal",53.7475
"96","Ambient",14.8
"97","Personal",11.3986833333333
"98","Ambient",9.7
"99","Personal",29.3183666666667
"100","Ambient",14.8
"101","Personal",29.4403055555556
"102","Ambient",10.6
"103","Personal",160.341877777778
"104","Ambient",14.1
"105","Personal",17.77325
"106","Ambient",7.3
"107","Personal",140.153958333333
"108","Ambient",10.6
"109","Personal",14.4900333333333
"110","Ambient",14.1
"111","Personal",38.0645194444444
"112","Ambient",6.5
"113","Personal",60.9524861111111
"114","Ambient",8.8
"115","Personal",11.8461666666667
"116","Ambient",8
"117","Personal",9.206025
"118","Ambient",8.8
"119","Personal",18.3618833333333
"120","Ambient",8.7
"121","Personal",14.53955
"122","Ambient",8.8
"123","Personal",42.0177361111111
"124","Ambient",9.2
"125","Personal",17.9041027777778
"126","Ambient",13.9
"127","Personal",15.6295944444444
"128","Ambient",9.2
"129","Personal",13.4510833333333
"130","Ambient",13.9
"131","Personal",15.9102
"132","Ambient",5.5
"133","Personal",2.79922222222222
"134","Ambient",7.2
"135","Personal",18.0970472222222
"136","Ambient",5.5
"137","Personal",12.7228277777778
"138","Ambient",7.2
"139","Personal",8.45838055555556
"140","Ambient",8.8
"141","Personal",8.87738888888889
"142","Ambient",8.3
"143","Personal",5.33175277777778
"144","Ambient",8.8
"145","Personal",12.4528944444444
"146","Ambient",8.8
"147","Personal",9.31045555555556
"148","Ambient",8.8
"149","Personal",18.7889138888889
"150","Ambient",10.2
"151","Personal",21.9847722222222
"152","Ambient",8.8
"153","Personal",20.6907027777778
"154","Ambient",10.2
"155","Personal",13.3116138888889
"156","Ambient",8.8
"157","Personal",14.1524861111111
"158","Ambient",10.2
"159","Personal",19.1706805555556
"160","Ambient",11.9
"161","Personal",26.5319416666667
"162","Ambient",7.5
"163","Personal",6.19295
"164","Ambient",6.5
"165","Personal",50.293325
"166","Ambient",8.5
"167","Personal",9.08186666666667
"168","Ambient",6.5
"169","Personal",10.0082555555556
"170","Ambient",8.5
"171","Personal",45.0126194444444
"172","Ambient",21.3
"173","Personal",18.766375
"174","Ambient",12.6
"175","Personal",16.5936888888889
"176","Ambient",21.3
"177","Personal",170.075222222222
"178","Ambient",13.9
"179","Personal",24.5507972222222
"180","Ambient",6.3
"181","Personal",7.05400277777778
"182","Ambient",8
"183","Personal",16.3035583333333
"184","Ambient",6.3
"185","Personal",52.4720583333333
"186","Ambient",8
"187","Personal",10.0501333333333
"188","Ambient",6.3
"189","Personal",6.40421388888889
"190","Ambient",8
"191","Personal",25.8510944444444
"192","Ambient",6.3
"193","Personal",23.5632861111111
"194","Ambient",8
"195","Personal",291.477844444444
"196","Ambient",13
"197","Personal",344.905294444444
"198","Ambient",12.8
"199","Personal",10.9538270893372
"200","Ambient",13
"201","Personal",237.251347222222
"202","Ambient",12.8
"203","Personal",866.876033333333
"204","Ambient",12.9
"205","Personal",750.196872222222
"206","Ambient",11.9
"207","Personal",26.9897428571429
"208","Ambient",11.7
"209","Personal",20.4419388888889
"210","Ambient",11.7
