"","type","concentration"
"1","Personal",105.975343578005
"2","Ambient",12.1291666666667
"3","Personal",46.5195688657407
"4","Ambient",7.85
"5","Personal",0.86543047675
"6","Ambient",12.1291666666667
"7","Personal",0.4387403935
"8","Ambient",7.85
"9","Personal",0.377604710798461
"10","Ambient",6.37916666666667
"11","Personal",1.21950069444444
"12","Ambient",7.84583333333333
"13","Personal",2.1142508749684
"14","Ambient",4.49583333333333
"15","Personal",17.6522497685185
"16","Ambient",6.97083333333333
"17","Personal",1.99019532238031
"18","Ambient",4.49583333333333
"19","Personal",2.06259097222222
"20","Ambient",6.85416666666667
"21","Personal",6.28851475919913
"22","Ambient",24.4791666666667
"23","Personal",11.6506306712963
"24","Ambient",14.4791666666667
"25","Personal",8.58097476851852
"26","Ambient",24.2833333333333
"27","Personal",3.9694422705314
"28","Ambient",14.2565217391304
"29","Personal",0.740530293395805
"30","Ambient",9.85
"31","Personal",8.67067777777777
"32","Ambient",7.36666666666667
"33","Personal",5.9009284329036
"34","Ambient",9.9875
"35","Personal",13.5668792824074
"36","Ambient",6.5875
"37","Personal",2.172061832472
"38","Ambient",9.9875
"39","Personal",1.56849583333333
"40","Ambient",5.2
"41","Personal",4.1030755787037
"42","Ambient",6.00416666666667
"43","Personal",11.7202969907407
"44","Ambient",7.86666666666667
"45","Personal",49.9822682552304
"46","Ambient",6.13333333333333
"47","Personal",49.2324671296296
"48","Ambient",5.66666666666667
"49","Personal",0.758740700726284
"50","Ambient",5.21666666666667
"51","Personal",5.20406061507936
"52","Ambient",6.4
"53","Personal",4.3906350140193
"54","Ambient",9.04166666666667
"55","Personal",3.85648460648149
"56","Ambient",11.9208333333333
"57","Personal",5.45327129779942
"58","Ambient",18.5291666666667
"59","Personal",4.86547268518519
"60","Ambient",15.1555555555556
"61","Personal",5.97549300316667
"62","Ambient",18.7625
"63","Personal",9.24042268555556
"64","Ambient",13.6944444444444
"65","Personal",138.585323558178
"66","Ambient",19.0166666666667
"67","Personal",155.150794444444
"68","Ambient",12.4722222222222
"69","Personal",6.1955037665031
"70","Ambient",9.20833333333333
"71","Personal",8.17554548611111
"72","Ambient",7.94583333333333
"73","Personal",1.43734371189901
"74","Ambient",9.03333333333333
"75","Personal",3.16849768518518
"76","Ambient",8.07083333333333
"77","Personal",1.30709549103625
"78","Ambient",8.6375
"79","Personal",0.39512962962963
"80","Ambient",8.39583333333333
"81","Personal",14.9583217030614
"82","Ambient",15.1666666666667
"83","Personal",10.0953878472222
"84","Ambient",8.76666666666667
"85","Personal",40.0190182808301
"86","Ambient",14.8
"87","Personal",54.6849304398148
"88","Ambient",8.38333333333333
"89","Personal",1.17283891056943
"90","Ambient",7.6625
"91","Personal",3.57530821759259
"92","Ambient",11.125
"93","Personal",10.75776799178
"94","Ambient",7.65
"95","Personal",7.93622291666667
"96","Ambient",11.3
"97","Personal",7.19752858577917
"98","Ambient",7.61666666666667
"99","Personal",6.15298993055556
"100","Ambient",11.5666666666667
"101","Personal",14.0525782975715
"102","Ambient",7.625
