"","type","concentration"
"1","Personal",4.16493888888889
"2","Ambient",9.1
"3","Personal",3.21927222222222
"4","Ambient",2.9
"5","Personal",0
"6","Ambient",9.1
"7","Personal",0
"8","Ambient",2.9
"9","Personal",0.0157527777777778
"10","Ambient",4.5
"11","Personal",0.0626583333333333
"12","Ambient",4.5
"13","Personal",0
"14","Ambient",2.7
"15","Personal",0
"16","Ambient",4.6
"17","Personal",0.0770444444444444
"18","Ambient",2.7
"19","Personal",0.23195
"20","Ambient",4.1
"21","Personal",0.388686111111111
"22","Ambient",20.1
"23","Personal",0.0238861111111111
"24","Ambient",7.1
"25","Personal",3.40109722222222
"26","Ambient",19.6
"27","Personal",0.845841666666667
"28","Ambient",7.1
"29","Personal",0
"30","Ambient",7.9
"31","Personal",0.103072222222222
"32","Ambient",3.9
"33","Personal",0.777072222222222
"34","Ambient",7.9
"35","Personal",10.6713055555556
"36","Ambient",3
"37","Personal",0.0228833333333333
"38","Ambient",4.6
"39","Personal",0.0152861111111111
"40","Ambient",2.9
"41","Personal",0
"42","Ambient",4.5
"43","Personal",0.0151388888888889
"44","Ambient",6.1
"45","Personal",0.409377777777778
"46","Ambient",4.3
"47","Personal",3.040525
"48","Ambient",3.8
"49","Personal",0.00755277777777778
"50","Ambient",3.2
"51","Personal",0
"52","Ambient",5
"53","Personal",0
"54","Ambient",5.8
"55","Personal",0
"56","Ambient",6.9
"57","Personal",0.00770555555555556
"58","Ambient",15.7
"59","Personal",0.00761111111111111
"60","Ambient",5.6
"61","Personal",1.17140708
"62","Ambient",15.7
"63","Personal",2.707169444
"64","Ambient",5.6
"65","Personal",0.0547527777777778
"66","Ambient",16.4
"67","Personal",1.19985833333333
"68","Ambient",5.6
"69","Personal",3.11001944444444
"70","Ambient",7
"71","Personal",1.74045833333333
"72","Ambient",6.1
"73","Personal",0.00725277777777778
"74","Ambient",6.7
"75","Personal",0
"76","Ambient",6.1
"77","Personal",0.238166666666667
"78","Ambient",6.1
"79","Personal",0
"80","Ambient",6.5
"81","Personal",6.93015555555556
"82","Ambient",13.1
"83","Personal",4.22246388888889
"84","Ambient",5.2
"85","Personal",4.59960277777778
"86","Ambient",12.3
"87","Personal",5.97463055555556
"88","Ambient",5.2
"89","Personal",0.116288888888889
"90","Ambient",4.6
"91","Personal",0.700730555555556
"92","Ambient",7.9
"93","Personal",0.928605555555556
"94","Ambient",4.6
"95","Personal",0.914269444444444
"96","Ambient",7.9
"97","Personal",5.75459444444444
"98","Ambient",4.6
"99","Personal",1.29608055555556
"100","Ambient",7.9
"101","Personal",5.23523333333333
"102","Ambient",5.5
"103","Personal",8.50831111111111
"104","Ambient",5
"105","Personal",5.19730833333333
"106","Ambient",5.5
"107","Personal",8.40551944444444
"108","Ambient",5
"109","Personal",3.41299722222222
"110","Ambient",4.4
"111","Personal",1.459625
"112","Ambient",4
"113","Personal",3.43585
"114","Ambient",7.3
"115","Personal",5.33470555555556
"116","Ambient",4
"117","Personal",3.76718611111111
"118","Ambient",7
"119","Personal",12.0036611111111
"120","Ambient",4.1
"121","Personal",5.25905277777778
"122","Ambient",6
"123","Personal",10.9076805555556
"124","Ambient",5.8
"125","Personal",7.94570555555556
"126","Ambient",7.3
"127","Personal",4.24827272727273
"128","Ambient",5.8
"129","Personal",6.34080277777778
"130","Ambient",7.3
"131","Personal",0.521572222222222
"132","Ambient",3.5
"133","Personal",0.129
"134","Ambient",3.2
"135","Personal",6.76065277777778
"136","Ambient",3.5
"137","Personal",8.35549444444444
"138","Ambient",3.2
"139","Personal",2.92716666666667
"140","Ambient",5.2
"141","Personal",4.13274722222222
"142","Ambient",3.5
"143","Personal",0.589813888888889
"144","Ambient",5.1
"145","Personal",0.2449
"146","Ambient",3.5
"147","Personal",6.35858888888889
"148","Ambient",3.5
"149","Personal",7.07786111111111
"150","Ambient",6.8
"151","Personal",8.68280555555556
"152","Ambient",3.5
"153","Personal",10.9754416666667
"154","Ambient",7
"155","Personal",5.90034285714286
"156","Ambient",3.5
"157","Personal",6.75183888888889
"158","Ambient",7
"159","Personal",5.86421111111111
"160","Ambient",6.3
"161","Personal",6.46918611111111
"162","Ambient",2
"163","Personal",2.52453611111111
"164","Ambient",1
"165","Personal",4.07091388888889
"166","Ambient",3.3
"167","Personal",5.45061944444444
"168","Ambient",2.1
"169","Personal",2.8658
"170","Ambient",3.3
"171","Personal",6.36121944444444
"172","Ambient",4.9
"173","Personal",9.23856388888889
"174","Ambient",8.9
"175","Personal",4.37555
"176","Ambient",5
"177","Personal",5.92867777777778
"178","Ambient",7
"179","Personal",4.68666388888889
"180","Ambient",4.3
"181","Personal",4.24302777777778
"182","Ambient",3.7
"183","Personal",12.2861166666667
"184","Ambient",4.3
"185","Personal",9.71796111111111
"186","Ambient",3.7
"187","Personal",3.06426944444444
"188","Ambient",4.3
"189","Personal",2.48106944444444
"190","Ambient",3.7
"191","Personal",16.3054388888889
"192","Ambient",3.7
"193","Personal",12.994225
"194","Ambient",3.8
"195","Personal",6.58745555555556
"196","Ambient",6.1
"197","Personal",5.90701111111111
"198","Ambient",5.3
"199","Personal",5.90688611111111
"200","Ambient",6.1
"201","Personal",3.3669
"202","Ambient",5.3
"203","Personal",7.5626
"204","Ambient",5.3
"205","Personal",12.225736196319
"206","Ambient",7.1
"207","Personal",6.79721388888889
"208","Ambient",7.2
"209","Personal",5.97964444444444
"210","Ambient",6.9
